Table	Feature	Description	Type
PU	AUid	IDs of AUs covered in the unit	string: '1+2+ ..'
ST	AUid	IDs of AUs covered in the unit	string: '1+2+ ..'
TT	AUid	IDs of AUs covered in the unit	string: '1+2+ ..'
PU	AUtype	Types of AUs covered in the unit	string: '1+2+ ..'
KD	Border	Keystroke at word border: within word, (W) white space (S) deletion (D)	cat: {WW, SW, WS, …}
KD	Char	Characters typed or deleted	string
ST	Cross	Cross value	int: -n .. +m
TT	Cross	Cross value	int: -n .. +m
AG	CrossS	Cross value from ST view	int: -n .. +m
AG	CrossT	Cross value from TT view	int: -n .. +m
FD	Cur	Cursor position in text	int
KD	Cur	Cursor position in text	int
ST	Cur	Cursor position in text	int
TT	Cur	Cursor position in text	int
AG	Del	Number of deletions in the unit	int
AU	Del	Number of deletions in the unit	int
HC	Del	Number of deletions in the unit	int
HS	Del	Number of deletions in the unit	int
KU	Del	Number of deletions in the unit	int
PU	Del	Number of deletions in the unit	int
SG	Del	Number of deletions in the unit	int
SS	Del	Number of deletions in the unit	int
ST	Del	Number of deletions in the unit	int
TT	Del	Number of deletions in the unit	int
AG	Del1	Number of deletions in the first micro unit	int
ST	Del1	Number of deletions in the first micro unit	int
TT	Del1	Number of deletions in the first micro unit	int
AG	Del2	Number of deletions in the second micro unit	int
ST	Del2	Number of deletions in the second micro unit	int
TT	Del2	Number of deletions in the second micro unit	int
AG	DelR	Number of deletions in the revision phase micro unit	int
TT	DelR	Number of deletions in the revision phase micro unit	int
ST	deprel	stanza: dependency relation	string
TT	deprel	stanza: dependency relation	string
EX	DFix	Total fixation duration	
SS	DraftTime	Timestamp of the first keystroke (start of drafting)	int
AG	Dur	Total duration of the unit (in ms)	int: 0 .. n
AU	Dur	Total duration of the unit (in ms)	int: 0 .. n
EX	Dur	Total duration of the unit (in ms)	int: 0 .. n
FD	Dur	Total duration of the unit (in ms)	int: 0 .. n
FU	Dur	Total duration of the unit (in ms)	int: 0 .. n
HC	Dur	Total duration of the unit (in ms)	int: 0 .. n
HS	Dur	Total duration of the unit (in ms)	int: 0 .. n
KD	Dur	Total duration of the unit (in ms)	int: 0 .. n
KU	Dur	Total duration of the unit (in ms)	int: 0 .. n
